"Inventory Reference","Inventories/Location","Inventories/Product","Inventories / Counted Quantity"
,"ASB/Stock","41554419184",0
,"ASB/Stock","41554429886",0
,"ASB/Stock","41554429893",0
,"ASB/Stock","41554433432",0
,"ASB/Stock","41554433449",0
,"ASB/Stock","41554433456",0
,"ASB/Stock","41554433470",0
,"ASB/Stock","41554433517",0
,"ASB/Stock","41554433753",0
,"ASB/Stock","41554433784",0
,"ASB/Stock","41554433807",0
,"ASB/Stock","41554433814",0
,"ASB/Stock","41554433821",0
,"ASB/Stock","41554438178",0
,"ASB/Stock","41554438185",0
,"ASB/Stock","41554438192",0
,"ASB/Stock","41554453638",0
,"ASB/Stock","4155445364",0
,"ASB/Stock","41554462838",0
,"ASB/Stock","41554466461",0
,"ASB/Stock","41554486582",0
,"ASB/Stock","41554486599",0
,"ASB/Stock","41554486605",0
,"ASB/Stock","41554488333",0
,"ASB/Stock","41554488340",0
,"ASB/Stock","41554496895",0
,"ASB/Stock","41554496901",0
,"ASB/Stock","41554496918",0
,"ASB/Stock","41554496925",0
,"ASB/Stock","41554496932",0
,"ASB/Stock","41554496949",0
,"ASB/Stock","41554496956",0
,"ASB/Stock","41554496963",0
,"ASB/Stock","41554496970",0
,"ASB/Stock","41554496987",0
,"ASB/Stock","41554502015",0
,"ASB/Stock","41554502022",0
,"ASB/Stock","41554502046",0
,"ASB/Stock","41554503074",0
,"ASB/Stock","41554503098",0
,"ASB/Stock","41554503104",0
,"ASB/Stock","41554503111",0
,"ASB/Stock","41554503135",0
,"ASB/Stock","41554503142",0
,"ASB/Stock","41554522679",0
,"ASB/Stock","41554538281",0
,"ASB/Stock","4800361347655",0
,"ASB/Stock","4800361347815",0
,"ASB/Stock","4902430453028-2",0
,"ASB/Stock","4902430453028-3",0
,"ASB/Stock","4902430453028-5",0
,"ASB/Stock","4902430622066",0
,"ASB/Stock","4902430622080",0
,"ASB/Stock","4902430641234",0
,"ASB/Stock","4902430644556",0
,"ASB/Stock","4902430687355",0
,"ASB/Stock","4902430693370-2",0
,"ASB/Stock","4902430693370-3",0
,"ASB/Stock","4902430693370-5",0
,"ASB/Stock","4902430807692-2",0
,"ASB/Stock","4902430807692-3",0
,"ASB/Stock","4902430807692-5",0
