"Inventory Reference","Inventories/Location","Inventories/Product","Inventories / Counted Quantity"
,"WEB/Stock","4891338031042",2
,"WEB/Stock","4891338028486",9
,"WEB/Stock","4891338029469",0
,"WEB/Stock","4891338038348",11
,"WEB/Stock","4891338021234",3
,"WEB/Stock","4891338028509",5
,"WEB/Stock","4891338028493",1
,"WEB/Stock","4891338003209",10
,"WEB/Stock","4891338014052",15
,"WEB/Stock","4891338003193",4
,"WEB/Stock","4891338003186",0
,"WEB/Stock","4891338007955",14
,"WEB/Stock","4891338007962",14
,"WEB/Stock","DARLIE-GT-160",3
,"WEB/Stock","DARLIE-JT-160",0
,"WEB/Stock","4891338040907",9
,"WEB/Stock","4891338040914",10
,"WEB/Stock","8993560022044",0
,"WEB/Stock","8993560022006",9
,"WEB/Stock","8993560022051",51
,"WEB/Stock","8993560022068",1
,"WEB/Stock","8993560022020",13
,"WEB/Stock","3073461",6
,"WEB/Stock","8993560028015",1
,"WEB/Stock","8993560026073",5
,"WEB/Stock","3073485",1
,"WEB/Stock","9556111609010",1
,"WEB/Stock","9556111621043",2
,"WEB/Stock","8993560026042",7
,"WEB/Stock","9556111621029",1
,"WEB/Stock","8993560026813",2
,"WEB/Stock","8993560026806",1
,"WEB/Stock","8888071610012",6
,"WEB/Stock","8993560026035",8
,"WEB/Stock","8888071610036",5
,"WEB/Stock","8993560026721",6
,"WEB/Stock","8993560026707",2
,"WEB/Stock","9556111621517",1
,"WEB/Stock","8993560026059",5
,"WEB/Stock","9556111621524",3
,"WEB/Stock","8993560026080",6
,"WEB/Stock","8993560026097",0
,"WEB/Stock","9556111410036",1
,"WEB/Stock","9556111410012",1
,"WEB/Stock","8993560027254",0
,"WEB/Stock","8993560027001",0
,"WEB/Stock","3028804",0
,"WEB/Stock","9556111620343",1
,"WEB/Stock","8993560027568",0
,"WEB/Stock","8993560027216",0
,"WEB/Stock","8993560027209",1
,"WEB/Stock","8993560027223",1
,"WEB/Stock","8993560027100",0
,"WEB/Stock","8993560027148",3
,"WEB/Stock","8993560027155",1
,"WEB/Stock","8993560027179",3
,"WEB/Stock","8993560027537",0
,"WEB/Stock","8993560027544",1
,"WEB/Stock","8993560027629",0
,"WEB/Stock","8993560027612",0
,"WEB/Stock","9300830042913",5
,"WEB/Stock","859581006532",0
,"WEB/Stock","8999999030605",1
,"WEB/Stock","8999999518370",0
,"WEB/Stock","4000388177000",0
,"WEB/Stock","8717163023839",0
,"WEB/Stock","8999999526634",5
,"WEB/Stock","9300830037803",4
,"WEB/Stock","9300830037810",0
,"WEB/Stock","8999999005580",2
,"WEB/Stock","8999999537302",2
,"WEB/Stock","859581006549",0
,"WEB/Stock","9300830037841",5
,"WEB/Stock","8999999039172",1
,"WEB/Stock","4902430928779",3
,"WEB/Stock","TW-DRENZIM-002-2",3
,"WEB/Stock","9412031260056",0
,"WEB/Stock","9412031260055",0
,"WEB/Stock","18787774328",0
,"WEB/Stock","9412031260058",0
,"WEB/Stock","18787111116",1
,"WEB/Stock","18787775080",2
,"WEB/Stock","18787765166",0
,"WEB/Stock","18787775325",1
,"WEB/Stock","18787767085",0
,"WEB/Stock","18787767160",0
,"WEB/Stock","18787767023",0
,"WEB/Stock","18787767320",0
,"WEB/Stock","18787764169",0
,"WEB/Stock","18787772324",0
,"WEB/Stock","18787762165",1
,"WEB/Stock","9412031260057",1
,"WEB/Stock","4710020050126",3
,"WEB/Stock","4710020050119",3
,"WEB/Stock","5038483223444",5
,"WEB/Stock","5038483158548",2
,"WEB/Stock","5038483158302",1
,"WEB/Stock","5038483158272",3
,"WEB/Stock","5038483158364",1
,"WEB/Stock","5038483158333",1
,"WEB/Stock","8993560155377",1
,"WEB/Stock","5038483223505",1
,"WEB/Stock","8104883",2
,"WEB/Stock","5038483193228",2
,"WEB/Stock","5038483163498",2
,"WEB/Stock","5038483273173",1
,"WEB/Stock","5038483432846",10
,"WEB/Stock","5038483274033",1
,"WEB/Stock","5038483158395",2
,"WEB/Stock","5038483158456",1
,"WEB/Stock","8993176816556",0
,"WEB/Stock","8993417206221",0
,"WEB/Stock","KINO0087",0
,"WEB/Stock","KINO0085",0
,"WEB/Stock","KINO0105",1
,"WEB/Stock","8993417200489",0
,"WEB/Stock","8712045027950",3
,"WEB/Stock","8712045028216",2
,"WEB/Stock","TP-8992980117156-2",5
,"WEB/Stock","8992980117118",10
,"WEB/Stock","VP-8992980117118-5",3
,"WEB/Stock","8992980117033",1
,"WEB/Stock","VP-8992980117033-4",3
,"WEB/Stock","8992980114001",0
,"WEB/Stock","VP-8992980114001-3",3
,"WEB/Stock","8992980117187",0
,"WEB/Stock","TP-8992980117187-2",0
,"WEB/Stock","8992980117279",3
,"WEB/Stock","VP-8992980117279-3",3
,"WEB/Stock","8992980117217",3
,"WEB/Stock","VP-8992980117217-3",1
,"WEB/Stock","8992980117101",1
,"WEB/Stock","TP-8992980117101-2",6
,"WEB/Stock","8998667101401",1
,"WEB/Stock","8997220240243",1
,"WEB/Stock","8997220240151",0
,"WEB/Stock","8997220240007",1
,"WEB/Stock","8997220240250",1
,"WEB/Stock","8997220240182",1
,"WEB/Stock","8997220240205",2
,"WEB/Stock","8997220240168",1
,"WEB/Stock","8997220240175",1
,"WEB/Stock","8997220240076",1
,"WEB/Stock","8997220240083",2
,"WEB/Stock","8994942006669",1
,"WEB/Stock","8994942006096",1
,"WEB/Stock","9555163307332",1
,"WEB/Stock","9556564126010",1
,"WEB/Stock","8997013610024",2
,"WEB/Stock","FG-3401528521157",0
,"WEB/Stock","FG-BIO-SNP500",8
,"WEB/Stock","Gift-00076",2
,"WEB/Stock","FarmaFest-FM20",5
,"WEB/Stock","FarmaFest-FM50",2
,"WEB/Stock","Gift-00075",23
,"WEB/Stock","Gift-00078",10
,"WEB/Stock","Gift-00070",3
,"WEB/Stock","Gift-00041",6
,"WEB/Stock","Gift-00007",1
,"WEB/Stock","Gift-00004",2
,"WEB/Stock","Gift-00009",1
,"WEB/Stock","Gift-00014",1
,"WEB/Stock","Gift-00015",1
,"WEB/Stock","Gift-00011",1
,"WEB/Stock","Freeman-0006",1
,"WEB/Stock","Freeman-0018",0
,"WEB/Stock","18770",0
,"WEB/Stock","Freeman-0015",0
,"WEB/Stock","Freeman-0014",0
,"WEB/Stock","Freeman-0017",7
,"WEB/Stock","18790",0
,"WEB/Stock","Freeman-0012",1
,"WEB/Stock","Freeman-0001",0
,"WEB/Stock","Freeman-0010",1
,"WEB/Stock","Freeman-0011",0
,"WEB/Stock","Freeman-0004",2
,"WEB/Stock","Freeman-0007",4
,"WEB/Stock","Freeman-0008",0
,"WEB/Stock","Freeman-0003",1
,"WEB/Stock","Freeman-0002",1
,"WEB/Stock","Freeman-0005",1
,"WEB/Stock","Freeman-0013-3",1
,"WEB/Stock","Freeman-0009",1
,"WEB/Stock","8998667400191",1
,"WEB/Stock","8998667400351",1
,"WEB/Stock","FREZZA-001",2
,"WEB/Stock","8997279103100",1
,"WEB/Stock","9554100252810B",1
,"WEB/Stock","9554100252841",3
,"WEB/Stock","9554100252865",2
,"WEB/Stock","AGBP190360",1
,"WEB/Stock","8997279103155",1
,"WEB/Stock","8997279105067",1
,"WEB/Stock","9332059000023",5
,"WEB/Stock","9332059000559",6
,"WEB/Stock","9332059000344",7
,"WEB/Stock","9332059000061",10
,"WEB/Stock","9332059000740",4
,"WEB/Stock","9332059000016",4
,"WEB/Stock","9332059000351",7
,"WEB/Stock","GAIA-NB-SK-1",2
,"WEB/Stock","8997212780016",0
,"WEB/Stock","8997212780016-5",1
,"WEB/Stock","8997212780047",0
,"WEB/Stock","6902395661139",1
,"WEB/Stock","6970175256837",1
,"WEB/Stock","8994993002429",1
,"WEB/Stock","8992304019524",1
,"WEB/Stock","8992304082221",1
,"WEB/Stock","8992304096273",1
,"WEB/Stock","8994993003662",0
,"WEB/Stock","8992304046940",1
,"WEB/Stock","7702018001538",2
,"WEB/Stock","4902430508865",3
,"WEB/Stock","4902430733298",1
,"WEB/Stock","4902430733021",0
,"WEB/Stock","7702018880010",0
,"WEB/Stock","8888826016243",2
,"WEB/Stock","47400245105",0
,"WEB/Stock","9556149001053",4
,"WEB/Stock","47400247307",1
,"WEB/Stock","7702018080984",3
,"WEB/Stock","7702018977819",3
,"WEB/Stock","3014260220051",2
,"WEB/Stock","3014260214692",1
,"WEB/Stock","47400179349",2
,"WEB/Stock","7702018996575",2
,"WEB/Stock","4902430689380",2
,"WEB/Stock","3014260274917",4
,"WEB/Stock","4902430792851",0
,"WEB/Stock","7702018038183",3
,"WEB/Stock","8888826016182",3
,"WEB/Stock","3014260301705",1
,"WEB/Stock","8888826016175",3
,"WEB/Stock","7702018366262",4
,"WEB/Stock","4902430875905",4
,"WEB/Stock","8858947820616",1
,"WEB/Stock","8858947820517",2
,"WEB/Stock","8858947820319",2
,"WEB/Stock","8858947820814",1
,"WEB/Stock","8858947820128",1
,"WEB/Stock","Gift-00081",3
,"WEB/Stock","8992821102983",1
,"WEB/Stock","8992821102471",0
,"WEB/Stock","8992821102457",0
,"WEB/Stock","8992821102730",2
,"WEB/Stock","8992821101771",1
,"WEB/Stock","8992821101757",0
,"WEB/Stock","8992821101764",1
,"WEB/Stock","8992821101788",2
,"WEB/Stock","4901417628985",1
,"WEB/Stock","4901417630681",1
,"WEB/Stock","4901417628978",2
,"WEB/Stock","4901417630995",2
,"WEB/Stock","VP-CETAPHIL-002",3
,"WEB/Stock","8999777765392",1
,"WEB/Stock","8809532220212",1
,"WEB/Stock","8809532220205",2
,"WEB/Stock","8809532220199",3
,"WEB/Stock","4902430110648",5
,"WEB/Stock","4902430753357",0
,"WEB/Stock","4902430752725",0
,"WEB/Stock","4987176047083",3
,"WEB/Stock","4902430110747",0
,"WEB/Stock","FO-4902430110747",1
,"WEB/Stock","4987176046369",3
,"WEB/Stock","4987176046352",3
,"WEB/Stock","4902430430715",1
,"WEB/Stock","4902430102254",0
,"WEB/Stock","4902430400671",4
,"WEB/Stock","4902430565585",3
,"WEB/Stock","4902430506977",4
,"WEB/Stock","4902430582704",2
,"WEB/Stock","4902430102247",0
,"WEB/Stock","4902430411776",12
,"WEB/Stock","4902430281331",92
,"WEB/Stock","4902430397964",35
,"WEB/Stock","4902430706056",1
,"WEB/Stock","4902430507066",1
,"WEB/Stock","4902430506939",1
,"WEB/Stock","4902430553643",19
,"WEB/Stock","4902430556392",85
,"WEB/Stock","4902430553692",0
,"WEB/Stock","4902430553650",15
,"WEB/Stock","4902430876186",1
,"WEB/Stock","4902430307901",19
,"WEB/Stock","4902430397827",4
,"WEB/Stock","4902430430999",1
,"WEB/Stock","4902430869126",9
,"WEB/Stock","4987176046284",3
,"WEB/Stock","4902430752695",9
,"WEB/Stock","4902430752701",29
,"WEB/Stock","4902430753340",3
,"WEB/Stock","4902430752619",2
,"WEB/Stock","4902430752626",54
,"WEB/Stock","4902430869140",2
,"WEB/Stock","8999908210005",5
,"WEB/Stock","8999908386809",4
,"WEB/Stock"," 8999908386809",0
,"WEB/Stock","8999908205506",5
,"WEB/Stock","8001090222879",4
,"WEB/Stock","8001090222459",5
,"WEB/Stock","4902430163798",2
,"WEB/Stock","8001090222756",5
,"WEB/Stock","8001090222510",4
,"WEB/Stock","4902430118651",4
,"WEB/Stock","8001090222930",6
,"WEB/Stock","8001090222572",3
,"WEB/Stock","8001090222848",7
,"WEB/Stock","8001090222428",3
,"WEB/Stock","4902430118804",9
,"WEB/Stock","8001090222725",3
,"WEB/Stock","8001090222480",5
,"WEB/Stock","4902430118798",3
,"WEB/Stock","4902430633277",6
,"WEB/Stock","8001090222909",5
,"WEB/Stock","8001090222541",2
,"WEB/Stock","Holisticare-01",0
,"WEB/Stock","8992863125001",0
,"WEB/Stock","8992863661035",0
,"WEB/Stock","8992863500112",8
,"WEB/Stock","8992863500105",6
,"WEB/Stock","FM-WX10201938",4
,"WEB/Stock","8998777142400",11
,"WEB/Stock","8998777142332",5
,"WEB/Stock","8998103017662",3
,"WEB/Stock","8998103017648",3
,"WEB/Stock","Intance-01",2
,"WEB/Stock","CTN-Intance-01-36",9
,"WEB/Stock","8993417097317",1
,"WEB/Stock","8992696428591",2
,"WEB/Stock","115016",3
,"WEB/Stock","115010",3
,"WEB/Stock","SALIVA-TEST-OO1",1
,"WEB/Stock","8991111101323",1
,"WEB/Stock","8991111109114",1
,"WEB/Stock","8991111101415",2
,"WEB/Stock","9556006012413",1
,"WEB/Stock","8998866107846",0
,"WEB/Stock","8998866107822",1
,"WEB/Stock","8998866107754",0
,"WEB/Stock","8998866107747",0
,"WEB/Stock","8998866105279",0
,"WEB/Stock","8998866105286",1
,"WEB/Stock","8998866105255",0
,"WEB/Stock","8998866105262",0
,"WEB/Stock","4806520410444",1
,"WEB/Stock","4809013300093",0
,"WEB/Stock","8998667400948",0
,"WEB/Stock","KS-SM-002",2
,"WEB/Stock","KS-SM-001",2
,"WEB/Stock","KS-SM-004",2
,"WEB/Stock","KS-SM-003",2
,"WEB/Stock","KS-SC-005",0
,"WEB/Stock","LANORE-003",1
,"WEB/Stock","LANORE-004",1
,"WEB/Stock","LANORE-005",1
,"WEB/Stock","LANORE-007",1
,"WEB/Stock","LANORE-008",2
,"WEB/Stock","LANORE-006",2
,"WEB/Stock","LANORE-001",2
,"WEB/Stock","LANORE-002",1
,"WEB/Stock","8992727003087",0
,"WEB/Stock","9555074314337",1
,"WEB/Stock","9555074316126",1
,"WEB/Stock","9555074316119",1
,"WEB/Stock","9555074300927",1
,"WEB/Stock","9555074300934",0
,"WEB/Stock","9555074300316",1
,"WEB/Stock","6920855052068",35
,"WEB/Stock","8999999508616",11
,"WEB/Stock","CTN-8999999508616-60",3
,"WEB/Stock","8992821103119",1
,"WEB/Stock","8992821100088",1
,"WEB/Stock","800142386099",0
,"WEB/Stock","800142384392",0
,"WEB/Stock","800142384569",0
,"WEB/Stock","800142384552",2
,"WEB/Stock","800142384576",1
,"WEB/Stock","800142384545",1
,"WEB/Stock","81640030",1
