"Inventory Reference","Inventories/Location","Inventories/Product","Inventories / Counted Quantity"
,"MKP/Stock","8997031665365",0
,"MKP/Stock","8999908285003",9
,"MKP/Stock"," 8999908285003",0
,"MKP/Stock","8999908250902",9
,"MKP/Stock"," 8999908250902",0
,"MKP/Stock","8999908000705",0
,"MKP/Stock","7613036123532",0
,"MKP/Stock","B1G1-0001",15
,"MKP/Stock","B1G1-0002",15
,"MKP/Stock","B1G1-48193",0
,"MKP/Stock","VP-00390",0
,"MKP/Stock","B1G1F-Freeman-0004-2",0
,"MKP/Stock","B1G1-0003",38
,"MKP/Stock","BOGOF-00006",0
,"MKP/Stock","8993005202031",10
,"MKP/Stock","8993005124029",0
,"MKP/Stock","8993005202024",16
,"MKP/Stock","8993005202055",0
,"MKP/Stock","8993176111286",0
,"MKP/Stock","8993176111293",0
,"MKP/Stock","8993176720822",0
,"MKP/Stock","8993176721027",0
,"MKP/Stock","8993176110067",0
,"MKP/Stock","8993176811094",0
,"MKP/Stock","8993176721980",0
,"MKP/Stock","8998103010823",7
,"MKP/Stock","8998103010830",7
,"MKP/Stock","8850169802012",6
,"MKP/Stock","8850169822010",0
,"MKP/Stock","8998103010809",0
,"MKP/Stock","Carmed-02",20
,"MKP/Stock","Carmed-01",32
,"MKP/Stock","8994591080010",0
,"MKP/Stock","8994591010031",8
,"MKP/Stock","8994591010017",57
,"MKP/Stock","8994591010055",6
,"MKP/Stock","8994591010024",0
,"MKP/Stock","CETAPHIL-001",22
,"MKP/Stock","9318637043316",122
,"MKP/Stock","Cetaphil-008",40
,"MKP/Stock","9318637043293",238
,"MKP/Stock","9318637044009",255
,"MKP/Stock","Cetaphil-010",73
,"MKP/Stock","Cetaphil-009",0
,"MKP/Stock","9318637043330",40
,"MKP/Stock","9318637043309",39
,"MKP/Stock","CETAPHIL-016",0
,"MKP/Stock","CETAPHIL-014",43
,"MKP/Stock","CETAPHIL-012",40
,"MKP/Stock","CETAPHIL-015",17
,"MKP/Stock","CETAPHIL-013",71
,"MKP/Stock","302993914082",41
,"MKP/Stock","9318637044030",38
,"MKP/Stock","3499320004206",18
,"MKP/Stock","9318637043002",234
,"MKP/Stock","9318637043002-FT",0
,"MKP/Stock","9318637070510",88
,"MKP/Stock","9318637072378",8
,"MKP/Stock","9318637069637",229
,"MKP/Stock","302993917168",37
,"MKP/Stock","3499320000321",0
,"MKP/Stock","3499320007696",0
,"MKP/Stock","772618061253",46
,"MKP/Stock","9318637043842",292
,"MKP/Stock","3499320003063",0
,"MKP/Stock","8992802003018",6
,"MKP/Stock","8992802180030",4
,"MKP/Stock","8992802001137",0
,"MKP/Stock","8998866100168",1
,"MKP/Stock","8998866181082",0
,"MKP/Stock","8998866106191",1
,"MKP/Stock","8991111112091",7
,"MKP/Stock","9556006283110",7
,"MKP/Stock","9556006283127",0
,"MKP/Stock","8991111111964",4
,"MKP/Stock","8850007700050",15
,"MKP/Stock","4901730070010",5
,"MKP/Stock","SWAB-TEST-001",0
,"MKP/Stock","6920354820601",0
,"MKP/Stock","8850006331866",0
,"MKP/Stock","8850006340769",0
,"MKP/Stock","700",16
,"MKP/Stock","CORINE003",16
,"MKP/Stock","3468080100749",4
,"MKP/Stock","3468080100725",3
,"MKP/Stock","3468080100787",4
,"MKP/Stock","3468080106048",4
,"MKP/Stock","706",3
,"MKP/Stock","CORINE010",9
,"MKP/Stock","3468080406476",4
,"MKP/Stock","747",6
,"MKP/Stock","3468080407121",4
,"MKP/Stock","18033",4
,"MKP/Stock","FM-WX102023871",1
,"MKP/Stock","8998103101118",0
,"MKP/Stock","8998103004600",4
,"MKP/Stock","8998103011776",0
,"MKP/Stock","8998103100999",0
,"MKP/Stock","8998103011868",0
,"MKP/Stock","8998103008165",20
,"MKP/Stock","8888103208026",6
,"MKP/Stock","8998103010724",3
,"MKP/Stock","8998103016191",9
,"MKP/Stock","8998103004846",2
,"MKP/Stock","8998103013077",9
,"MKP/Stock","8998103011578",0
,"MKP/Stock","8998103101026",6
,"MKP/Stock","8998103015507",9
,"MKP/Stock","8998103015491",9
,"MKP/Stock","8998103015453",0
,"MKP/Stock","88820286",5
,"MKP/Stock","8998103011837",15
,"MKP/Stock","8998103004495",2
,"MKP/Stock","8998103000565",0
,"MKP/Stock","8998103012643",0
,"MKP/Stock","8998103011332",2
,"MKP/Stock","8888103003492",9
,"MKP/Stock","8998103014593",0
,"MKP/Stock","8998103014586",2
,"MKP/Stock","8998103014388",3
,"MKP/Stock","8998103100685",8
,"MKP/Stock","8998103100692",6
,"MKP/Stock","8888103006882",0
,"MKP/Stock","8998103012056",2
,"MKP/Stock","8998103012049",4
,"MKP/Stock","8998103012094",0
,"MKP/Stock","8888103003881",12
,"MKP/Stock","8998103012445",3
,"MKP/Stock","4891338031042",7
,"MKP/Stock","4891338028486",36
,"MKP/Stock","4891338029469",0
,"MKP/Stock","4891338038348",40
,"MKP/Stock","4891338021234",8
,"MKP/Stock","4891338028509",19
,"MKP/Stock","4891338028493",1
,"MKP/Stock","4891338003209",38
,"MKP/Stock","4891338014052",57
