"Inventory Reference","Inventories/Location","Inventories/Product","Inventories / Counted Quantity"
,"TMG/Stock","FA-0993",4
,"TMG/Stock","F2120005",12
,"TMG/Stock","F2120004",2
,"TMG/Stock","FA-0154",40
,"TMG/Stock","F12A0006",2
,"TMG/Stock","FA-0155",3
,"TMG/Stock","F12A0007",132
,"TMG/Stock","VCNEB",0
,"TMG/Stock","9318637043316",0
,"TMG/Stock","9318637043293",0
,"TMG/Stock","9318637043330",1
,"TMG/Stock","9318637043309",0
,"TMG/Stock","302993914082",0
,"TMG/Stock","3499320004206",0
,"TMG/Stock","9318637043002",0
,"TMG/Stock","9318637070510",0
,"TMG/Stock","9318637072378",0
,"TMG/Stock","9318637069637",0
,"TMG/Stock","3499320000321",0
,"TMG/Stock","772618061253",0
,"TMG/Stock","3499320003919",0
,"TMG/Stock","3499320003926",0
,"TMG/Stock","3499320003063",0
,"TMG/Stock","FM-WX10202559",27
,"TMG/Stock","8994388102178",0
,"TMG/Stock","8994805020559",490
,"TMG/Stock","FA-01103",0
,"TMG/Stock","8993430160111",620
,"TMG/Stock","F12A0023",0
,"TMG/Stock","CHL-00001",0
,"TMG/Stock","CHL-00002",7
,"TMG/Stock","CHL-00003",6
,"TMG/Stock","CHL-00004",0
,"TMG/Stock","CHL-00005",7
,"TMG/Stock","FA00123",11
,"TMG/Stock","FA00122",0
,"TMG/Stock","FM-WX10202447",0
,"TMG/Stock","8992858617719",0
,"TMG/Stock","8992858619911",0
,"TMG/Stock","8997011910010",3
,"TMG/Stock","M10D0003",40
,"TMG/Stock","FM-WX10202573",0
,"TMG/Stock","FM-WX10202574",8
,"TMG/Stock","FA00126",20
,"TMG/Stock","FA00127",0
,"TMG/Stock","8994568145179",4
,"TMG/Stock","F16E0009",7
,"TMG/Stock","F16E0011",0
,"TMG/Stock","FM-WX10202500",7
,"TMG/Stock","8994805022461",-75
,"TMG/Stock","FA00136",80
,"TMG/Stock","FA-0156",66
,"TMG/Stock","FA-0157",0
,"TMG/Stock","F08C0005",82
,"TMG/Stock","FA-0158",0
,"TMG/Stock","F08C0006",0
,"TMG/Stock","F12A0010",0
,"TMG/Stock","F12A0009",75
,"TMG/Stock","F01B0004",100
,"TMG/Stock","FA-0160",0
,"TMG/Stock","8991111112114",0
,"TMG/Stock","8991111112091",0
,"TMG/Stock","8991111112213",0
,"TMG/Stock","9556006283110",0
,"TMG/Stock","9556006283127",0
,"TMG/Stock","8991111111964",0
,"TMG/Stock","8850007700050",3
,"TMG/Stock","4901730070010",0
,"TMG/Stock","8999999029715",0
,"TMG/Stock","8999999029708",0
,"TMG/Stock","8999999029685",0
,"TMG/Stock","8999999029616",0
,"TMG/Stock","8999999519445",0
,"TMG/Stock","8999999501464",0
,"TMG/Stock","FA-0002",0
,"TMG/Stock","F08K0006",0
,"TMG/Stock","FA-01050",4
,"TMG/Stock","FA-2684",56
,"TMG/Stock","FA-2685",55
,"TMG/Stock","FM-WX10202526",0
,"TMG/Stock","8994805022553",-10
,"TMG/Stock","Rapidtest-04",-4
,"TMG/Stock","Rapidtest-03",0
,"TMG/Stock","SWAB-TEST-002",0
,"TMG/Stock","SWAB-TEST-001",15
,"TMG/Stock","SWAB-TEST-003",24
,"TMG/Stock","FA00146",22
,"TMG/Stock","IT021",92
,"TMG/Stock","FM-WX10201943",80
,"TMG/Stock","FM-WX10201944",0
,"TMG/Stock","FM-WX10201945",0
,"TMG/Stock","FM-WX10201946",0
,"TMG/Stock","F02F0008",0
,"TMG/Stock","FM-WX10201950",0
,"TMG/Stock","FM-WX10201949",0
,"TMG/Stock","8992112088224",0
,"TMG/Stock","8992112088217",2
,"TMG/Stock","FA-0166",0
,"TMG/Stock","FA-0167",0
,"TMG/Stock","6920354815522",0
,"TMG/Stock","8850006341964",0
,"TMG/Stock","4892368662589",0
,"TMG/Stock","F08E0004",110
,"TMG/Stock","8993212111065",26
,"TMG/Stock","8993212111089",64
,"TMG/Stock","8993212111102",17
,"TMG/Stock","F03C0007",5
,"TMG/Stock","F03C0004",10
,"TMG/Stock","F03C0008",1
,"TMG/Stock","FA-0169",140
,"TMG/Stock","F02D0002",200
,"TMG/Stock","F02D0001",160
,"TMG/Stock","6938751820155",0
,"TMG/Stock","FM-WX10202545",8
,"TMG/Stock","8993430101107",2
,"TMG/Stock","F02A0001",0
,"TMG/Stock","3468080100916",0
,"TMG/Stock","3468080100787",3
,"TMG/Stock","3468080106048",0
,"TMG/Stock","3468080404144",0
,"TMG/Stock","3468080405332",1
,"TMG/Stock","3468080405226",0
